"Shopify Domain","Job ID","Sheet","Started At","Finished At","Duration","Seconds per Item","Exported","Column Groups","Columns","Filters"
"shopxeroshoes.myshopify.com","548661956","Products","2025-10-20 08:58:32 -0600","2025-10-20 09:14:14 -0600","00:15:41","2.423","388","Base, Images, Variants, Metafields, Variant Metafields","ID, Handle, Command, Title, Body HTML, Vendor, Type, Tags, Tags Command, Created At, Updated At, Status, Published, Published At, Published Scope, Template Suffix, Gift Card, URL, Total Inventory Qty, Row #, Top Row, Image Type, Image Src, Image Command, Image Position, Image Width, Image Height, Image Alt Text, Variant Inventory Item ID, Variant ID, Variant Command, Option1 Name, Option1 Value, Option2 Name, Option2 Value, Option3 Name, Option3 Value, Variant Position, Variant SKU, Variant Barcode, Variant Image, Variant Weight, Variant Weight Unit, Variant Price, Variant Compare At Price, Variant Taxable, Variant Tax Code, Variant Inventory Tracker, Variant Inventory Policy, Variant Fulfillment Service, Variant Requires Shipping, Variant Inventory Qty, Variant Inventory Adjust, Metafield: ..., Variant Metafield: ...",""
"shopxeroshoes.myshopify.com","548661956","Smart Collections","2025-10-20 09:14:14 -0600","2025-10-20 09:14:55 -0600","00:00:40","0.188","209","Base, Rules, Products Count, Metafields","ID, Handle, Command, Title, Body HTML, Sort Order, Template Suffix, Updated At, Published, Published At, Published Scope, Image Src, Image Width, Image Height, Image Alt Text, Row #, Top Row, Must Match, Rule: Product Column, Rule: Relation, Rule: Condition, Products Count, Metafield: ...",""
"shopxeroshoes.myshopify.com","548661956","Custom Collections","2025-10-20 09:14:55 -0600","2025-10-20 09:14:59 -0600","00:00:04","0.242","14","Base, Linked Products, Products Count, Metafields","ID, Handle, Command, Title, Body HTML, Sort Order, Template Suffix, Updated At, Published, Published At, Published Scope, Image Src, Image Width, Image Height, Image Alt Text, Row #, Top Row, Product: ID, Product: Handle, Product: Position, Product: Command, Products Count, Metafield: ...",""
"shopxeroshoes.myshopify.com","548661956","Pages","2025-10-20 09:14:59 -0600","2025-10-20 09:15:10 -0600","00:00:11","0.108","97","Base, Metafields","ID, Handle, Command, Title, Body HTML, Created At, Updated At, Published, Published At, Template Suffix, Metafield: ...",""
"shopxeroshoes.myshopify.com","548661956","Blog Posts","2025-10-20 09:15:10 -0600","2025-10-20 09:15:36 -0600","00:00:26","0.055","445","Base, Blogs, Metafields","ID, Handle, Command, Title, Author, Body HTML, Summary HTML, Tags, Tags Command, Created At, Updated At, Published, Published At, Template Suffix, Image Src, Image Width, Image Height, Image Alt Text, Blog: ID, Blog: Handle, Blog: Title, Blog: Commentable, Blog: Feedburner URL, Blog: Feedburner Path, Blog: Template Suffix, Blog: Created At, Blog: Updated At, Metafield: ...",""
"shopxeroshoes.myshopify.com","548661956","Redirects","2025-10-20 09:15:36 -0600","2025-10-20 09:15:41 -0600","00:00:05","0.001","3455","Base","ID, Path, Command, Target",""
"shopxeroshoes.myshopify.com","548661956","Metaobjects","2025-10-20 09:15:41 -0600","2025-10-20 09:17:03 -0600","00:01:22","0.15","500 of 3722","Base, Field Values","ID, Handle, Command, Display Name, Status, Updated At, Definition: Handle, Definition: Name, Top Row, Row #, Field, Value",""
"shopxeroshoes.myshopify.com","548661956","Menus","2025-10-20 09:17:04 -0600","2025-10-20 09:17:13 -0600","00:00:09","0.748","11","Base, Menu Items","ID, Handle, Command, Title, Is Default, Top Row, Row #, Menu Item: ID, Menu Item: Title, Menu Item: Command, Menu Item: Resource Type, Menu Item: Resource ID, Menu Item: Resource Handle, Menu Item: Collection Tags, Menu Item: URL, Menu Item: Parent ID, Menu Item: Parent Title, Menu Item: Position",""
